id,client_id,worker_id,status,start_time,end_time,hourly_rate,created_at,updated_at
1,105,105,submitted,2024-07-05T10:00:00.000,2024-07-05T11:45:00.000,$45,2024-07-05T15:01:06.867,2024-07-05T15:01:06.867
1,105,105,approved,2024-07-05T10:00:00.000,2024-07-05T11:45:00.000,$45,2024-07-05T15:01:06.867,2024-07-05T21:03:05.185
2,105,108,submitted,2024-07-07T10:00:00.000,2024-07-07T11:45:00.000,$40,2024-07-07T16:03:11.298,2024-07-07T16:03:11.298
2,105,108,approved,2024-07-07T10:00:00.000,2024-07-07T11:45:00.000,$40,2024-07-07T16:03:11.298,2024-07-07T18:11:59.735
3,105,111,submitted,2024-07-09T10:00:00.000,2024-07-09T11:45:00.000,$42.50,2024-07-09T13:34:28.193,2024-07-09T13:34:28.193
3,105,111,approved,2024-07-09T10:00:00.000,2024-07-09T11:45:00.000,$42.50,2024-07-09T13:34:28.193,2024-07-09T23:17:16.279
4,108,111,submitted,2024-07-10T13:00:00.000,2024-07-10T15:15:00.000,$41,2024-07-10T17:01:13.683,2024-07-10T17:01:13.683
4,108,111,approved,2024-07-10T13:00:00.000,2024-07-10T15:15:00.000,$41,2024-07-10T17:01:13.683,2024-07-10T19:11:07.458
5,108,108,submitted,2024-07-08T09:15:00.000,2024-07-08T10:30:00.000,$45,2024-07-09T11:16:14.683,2024-07-09T11:16:14.683
5,108,108,rejected,2024-07-08T09:15:00.000,2024-07-08T10:30:00.000,$45,2024-07-09T11:16:14.683,2024-07-09T14:18:56.287
5,108,108,submitted,2024-07-09T09:15:00.000,2024-07-09T10:30:00.000,$40,2024-07-09T11:16:14.683,2024-07-09T14:56:17.897
5,108,108,approved,2024-07-09T09:15:00.000,2024-07-09T10:30:00.000,$40,2024-07-09T11:16:14.683,2024-07-09T17:01:19.611
6,111,,submitted,2024-07-10T14:00:00.000,2024-07-10T18:00:00.000,$50,2024-07-10T20:13:18.789,2024-07-10T20:13:18.789
7,111,114,submitted,2024-07-11T12:00:00.000,2024-07-11T16:00:00.000,$55,2024-07-11T17:27:56.923,2024-07-11T17:27:56.923
7,111,114,approved,2024-07-11T12:00:00.000,2024-07-11T16:00:00.000,$55,2024-07-11T17:27:56.923,2024-07-11T20:19:57.865
8,111,117,submitted,2024-07-12T14:00:00.000,2024-07-11T12:00:00.000,$60,2024-07-12T13:16:45.135,2024-07-12T13:16:45.135
8,111,117,approved,2024-07-12T14:00:00.000,2024-07-11T12:00:00.000,$60,2024-07-12T13:16:45.135,2024-07-12T17:21:36.493
9,111,117,submitted,2024-07-14T12:00:00.000,2024-07-14T14:00:00.000,$60,2024-07-14T15:07:13.783,2024-07-14T15:07:13.783
9,111,117,approved,2024-07-14T12:00:00.000,2024-07-14T14:00:00.000,$60,2024-07-14T15:07:13.783,2024-07-14T19:11:08.145
10,114,120,submitted,2024-07-16T12:00:00.000,2024-07-16T18:00:00.000,$57.5,2024-07-16T20:38:42.286,2024-07-16T20:38:42.286
10,114,120,approved,2024-07-16T12:00:00.000,2024-07-16T18:00:00.000,$57.5,2024-07-16T20:38:42.286,2024-07-17T01:23:32.287
